  No.   E(hr.)    dos(hr.)       E(eV)          dos(eV)    sum
      6  -0.9381      0.00000000    -21.7228    0.0000000000    0.0000
     16  -0.9371      0.00000002    -21.6956    0.0000000006    0.0000
     26  -0.9361      0.00001501    -21.6684    0.0000005517    0.0000
     36  -0.9351      0.00532590    -21.6412    0.0001957231    0.0000
     46  -0.9341      0.74525983    -21.6140    0.0273877935    0.0002
     56  -0.9331     42.01470184    -21.5868    1.5440118142    0.0133
     66  -0.9321    980.94514431    -21.5596   36.0490691447    0.3797
     76  -0.9311   9830.44290531    -21.5324  361.2621134567    4.9276
     86  -0.9301  44433.45217482    -21.5052 1632.8992493491   31.0832
     96  -0.9291  97333.40823938    -21.4779 3576.9367778436  105.1013
    106  -0.9281 112115.47285715    -21.4507 4120.1676329034  215.8306
    116  -0.9271  69829.38118101    -21.4235 2566.1824263476  307.8364
    126  -0.9261  22037.69019562    -21.3963  809.8701770060  349.4576
    136  -0.9251   3193.91076083    -21.3691  117.3740555502  358.9469
    146  -0.9241    197.49318861    -21.3419    7.2577408157  359.9524
    156  -0.9231      4.98770472    -21.3147    0.1832947676  359.9991
    166  -0.9221      0.05014781    -21.2875    0.0018428981  360.0000
    176  -0.9211      0.00019749    -21.2603    0.0000072575  360.0000
    186  -0.9201      0.00000030    -21.2330    0.0000000111  360.0000
    196  -0.9191      0.00000000    -21.2058    0.0000000000  360.0000
    206  -0.9181      0.00000000    -21.1786    0.0000000000  360.0000
    216  -0.9171      0.00000000    -21.1514    0.0000000000  360.0000
    226  -0.9161      0.00000000    -21.1242    0.0000000000  360.0000
    236  -0.9151      0.00000000    -21.0970    0.0000000000  360.0000
    246  -0.9141      0.00000000    -21.0698    0.0000000000  360.0000
    256  -0.9131      0.00000000    -21.0426    0.0000000000  360.0000
    266  -0.9121      0.00000000    -21.0154    0.0000000000  360.0000
    276  -0.9111      0.00000000    -20.9881    0.0000000000  360.0000
    286  -0.9101      0.00000000    -20.9609    0.0000000000  360.0000
    296  -0.9091      0.00000000    -20.9337    0.0000000000  360.0000
    306  -0.9081      0.00000000    -20.9065    0.0000000000  360.0000
    316  -0.9071      0.00000000    -20.8793    0.0000000000  360.0000
    326  -0.9061      0.00000000    -20.8521    0.0000000000  360.0000
    336  -0.9051      0.00000000    -20.8249    0.0000000000  360.0000
    346  -0.9041      0.00000000    -20.7977    0.0000000000  360.0000
    356  -0.9031      0.00000000    -20.7705    0.0000000000  360.0000
    366  -0.9021      0.00000000    -20.7432    0.0000000000  360.0000
    376  -0.9011      0.00000000    -20.7160    0.0000000000  360.0000
    386  -0.9001      0.00000000    -20.6888    0.0000000000  360.0000
    396  -0.8991      0.00000000    -20.6616    0.0000000000  360.0000
    406  -0.8981      0.00000000    -20.6344    0.0000000000  360.0000
    416  -0.8971      0.00000000    -20.6072    0.0000000000  360.0000
    426  -0.8961      0.00000000    -20.5800    0.0000000000  360.0000
    436  -0.8951      0.00000000    -20.5528    0.0000000000  360.0000
    446  -0.8941      0.00000000    -20.5255    0.0000000000  360.0000
    456  -0.8931      0.00000000    -20.4983    0.0000000000  360.0000
    466  -0.8921      0.00000000    -20.4711    0.0000000000  360.0000
    476  -0.8911      0.00000000    -20.4439    0.0000000000  360.0000
    486  -0.8901      0.00000000    -20.4167    0.0000000000  360.0000
    496  -0.8891      0.00000000    -20.3895    0.0000000000  360.0000
    506  -0.8881      0.00000000    -20.3623    0.0000000000  360.0000
    516  -0.8871      0.00000000    -20.3351    0.0000000000  360.0000
    526  -0.8861      0.00000000    -20.3079    0.0000000000  360.0000
    536  -0.8851      0.00000000    -20.2806    0.0000000000  360.0000
    546  -0.8841      0.00000000    -20.2534    0.0000000000  360.0000
    556  -0.8831      0.00000000    -20.2262    0.0000000000  360.0000
    566  -0.8821      0.00000000    -20.1990    0.0000000000  360.0000
    576  -0.8811      0.00000000    -20.1718    0.0000000000  360.0000
    586  -0.8801      0.00000000    -20.1446    0.0000000000  360.0000
    596  -0.8791      0.00000000    -20.1174    0.0000000000  360.0000
    606  -0.8781      0.00000000    -20.0902    0.0000000000  360.0000
    616  -0.8771      0.00000000    -20.0630    0.0000000000  360.0000
    626  -0.8761      0.00000000    -20.0357    0.0000000000  360.0000
    636  -0.8751      0.00000000    -20.0085    0.0000000000  360.0000
    646  -0.8741      0.00000000    -19.9813    0.0000000000  360.0000
    656  -0.8731      0.00000000    -19.9541    0.0000000000  360.0000
    666  -0.8721      0.00000000    -19.9269    0.0000000000  360.0000
    676  -0.8711      0.00000000    -19.8997    0.0000000000  360.0000
    686  -0.8701      0.00000000    -19.8725    0.0000000000  360.0000
    696  -0.8691      0.00000000    -19.8453    0.0000000000  360.0000
    706  -0.8681      0.00000000    -19.8181    0.0000000000  360.0000
    716  -0.8671      0.00000000    -19.7908    0.0000000000  360.0000
    726  -0.8661      0.00000000    -19.7636    0.0000000000  360.0000
    736  -0.8651      0.00000000    -19.7364    0.0000000000  360.0000
    746  -0.8641      0.00000000    -19.7092    0.0000000000  360.0000
    756  -0.8631      0.00000000    -19.6820    0.0000000000  360.0000
    766  -0.8621      0.00000000    -19.6548    0.0000000000  360.0000
    776  -0.8611      0.00000000    -19.6276    0.0000000000  360.0000
    786  -0.8601      0.00000000    -19.6004    0.0000000000  360.0000
    796  -0.8591      0.00000000    -19.5732    0.0000000000  360.0000
    806  -0.8581      0.00000000    -19.5459    0.0000000000  360.0000
    816  -0.8571      0.00000000    -19.5187    0.0000000000  360.0000
    826  -0.8561      0.00000000    -19.4915    0.0000000000  360.0000
    836  -0.8551      0.00000000    -19.4643    0.0000000000  360.0000
    846  -0.8541      0.00000000    -19.4371    0.0000000000  360.0000
    856  -0.8531      0.00000000    -19.4099    0.0000000000  360.0000
    866  -0.8521      0.00000000    -19.3827    0.0000000000  360.0000
    876  -0.8511      0.00000000    -19.3555    0.0000000000  360.0000
    886  -0.8501      0.00000000    -19.3282    0.0000000000  360.0000
    896  -0.8491      0.00000000    -19.3010    0.0000000000  360.0000
    906  -0.8481      0.00000000    -19.2738    0.0000000000  360.0000
    916  -0.8471      0.00000000    -19.2466    0.0000000000  360.0000
    926  -0.8461      0.00000000    -19.2194    0.0000000000  360.0000
    936  -0.8451      0.00000000    -19.1922    0.0000000000  360.0000
    946  -0.8441      0.00000000    -19.1650    0.0000000000  360.0000
    956  -0.8431      0.00000000    -19.1378    0.0000000000  360.0000
    966  -0.8421      0.00000000    -19.1106    0.0000000000  360.0000
    976  -0.8411      0.00000000    -19.0833    0.0000000000  360.0000
    986  -0.8401      0.00000000    -19.0561    0.0000000000  360.0000
    996  -0.8391      0.00000000    -19.0289    0.0000000000  360.0000
   1006  -0.8381      0.00000000    -19.0017    0.0000000000  360.0000
   1016  -0.8371      0.00000000    -18.9745    0.0000000000  360.0000
   1026  -0.8361      0.00000000    -18.9473    0.0000000000  360.0000
   1036  -0.8351      0.00000000    -18.9201    0.0000000000  360.0000
   1046  -0.8341      0.00000000    -18.8929    0.0000000000  360.0000
   1056  -0.8331      0.00000000    -18.8657    0.0000000000  360.0000
   1066  -0.8321      0.00000000    -18.8384    0.0000000000  360.0000
   1076  -0.8311      0.00000000    -18.8112    0.0000000000  360.0000
   1086  -0.8301      0.00000000    -18.7840    0.0000000000  360.0000
   1096  -0.8291      0.00000000    -18.7568    0.0000000000  360.0000
   1106  -0.8281      0.00000000    -18.7296    0.0000000000  360.0000
   1116  -0.8271      0.00000000    -18.7024    0.0000000000  360.0000
   1126  -0.8261      0.00000000    -18.6752    0.0000000000  360.0000
   1136  -0.8251      0.00000000    -18.6480    0.0000000000  360.0000
   1146  -0.8241      0.00000000    -18.6208    0.0000000000  360.0000
   1156  -0.8231      0.00000000    -18.5935    0.0000000000  360.0000
   1166  -0.8221      0.00000000    -18.5663    0.0000000000  360.0000
   1176  -0.8211      0.00000000    -18.5391    0.0000000000  360.0000
   1186  -0.8201      0.00000000    -18.5119    0.0000000000  360.0000
   1196  -0.8191      0.00000000    -18.4847    0.0000000000  360.0000
   1206  -0.8181      0.00000000    -18.4575    0.0000000000  360.0000
   1216  -0.8171      0.00000000    -18.4303    0.0000000000  360.0000
   1226  -0.8161      0.00000000    -18.4031    0.0000000000  360.0000
   1236  -0.8151      0.00000000    -18.3758    0.0000000000  360.0000
   1246  -0.8141      0.00000000    -18.3486    0.0000000000  360.0000
   1256  -0.8131      0.00000000    -18.3214    0.0000000000  360.0000
   1266  -0.8121      0.00000000    -18.2942    0.0000000000  360.0000
   1276  -0.8111      0.00000000    -18.2670    0.0000000000  360.0000
   1286  -0.8101      0.00000000    -18.2398    0.0000000000  360.0000
   1296  -0.8091      0.00000000    -18.2126    0.0000000000  360.0000
