  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
      6  -0.94810      0.0000000000    -22.097762      0.0000000000        0.0000000000
     16  -0.94710      0.0000000012    -22.070551      0.0000000000        0.0000000000
     26  -0.94610      0.0000010254    -22.043340      0.0000000377        0.0000000002
     36  -0.94510      0.0003325994    -22.016128      0.0000122228        0.0000000789
     46  -0.94410      0.0413805373    -21.988917      0.0015207061        0.0000113155
     56  -0.94310      2.0019452170    -21.961705      0.0735701030        0.0006537806
     66  -0.94210     38.4079966109    -21.934494      1.4114673279        0.0157317900
     76  -0.94110    300.4138039449    -21.907283     11.0399996490        0.1656545762
     86  -0.94010    996.9619737558    -21.880071     36.6376634356        0.8222619890
     96  -0.93910   1525.8263313138    -21.852860     56.0730630249        2.1646969409
    106  -0.93810   1493.5174086562    -21.825648     54.8857324491        3.6863439796
    116  -0.93710   1786.6174037892    -21.798437     65.6569546796        5.2966356366
    126  -0.93610   2021.1168906664    -21.771226     74.2746487363        7.2739261918
    136  -0.93510   1325.8988774394    -21.744014     48.7258672848        8.9782057957
    146  -0.93410    438.0126703196    -21.716803     16.0966628800        9.7852059375
    156  -0.93310     66.7289833285    -21.689591      2.4522440143        9.9775531317
    166  -0.93210      4.3387175568    -21.662380      0.1594448713        9.9989403085
    176  -0.93110      0.1141038696    -21.635169      0.0041932383        9.9999788567
    186  -0.93010      0.0011747168    -21.607957      0.0000431700        9.9999998292
    196  -0.92910      0.0000046437    -21.580746      0.0000001707        9.9999999995
    206  -0.92810      0.0000000070    -21.553534      0.0000000003       10.0000000000
    216  -0.92710      0.0000000000    -21.526323      0.0000000000       10.0000000000
    226  -0.92610      0.0000000000    -21.499112      0.0000000000       10.0000000000
    236  -0.92510      0.0000000000    -21.471900      0.0000000000       10.0000000000
    246  -0.92410      0.0000000000    -21.444689      0.0000000000       10.0000000000
    256  -0.92310      0.0000000000    -21.417477      0.0000000000       10.0000000000
    266  -0.92210      0.0000000000    -21.390266      0.0000000000       10.0000000000
    276  -0.92110      0.0000000000    -21.363055      0.0000000000       10.0000000000
    286  -0.92010      0.0000000000    -21.335843      0.0000000000       10.0000000000
    296  -0.91910      0.0000000000    -21.308632      0.0000000000       10.0000000000
    306  -0.91810      0.0000000000    -21.281420      0.0000000000       10.0000000000
    316  -0.91710      0.0000000000    -21.254209      0.0000000000       10.0000000000
    326  -0.91610      0.0000000000    -21.226998      0.0000000000       10.0000000000
    336  -0.91510      0.0000000000    -21.199786      0.0000000000       10.0000000000
    346  -0.91410      0.0000000000    -21.172575      0.0000000000       10.0000000000
    356  -0.91310      0.0000000000    -21.145363      0.0000000000       10.0000000000
    366  -0.91210      0.0000000000    -21.118152      0.0000000000       10.0000000000
    376  -0.91110      0.0000000000    -21.090941      0.0000000000       10.0000000000
    386  -0.91010      0.0000000000    -21.063729      0.0000000000       10.0000000000
    396  -0.90910      0.0000000000    -21.036518      0.0000000000       10.0000000000
    406  -0.90810      0.0000000000    -21.009306      0.0000000000       10.0000000000
    416  -0.90710      0.0000000000    -20.982095      0.0000000000       10.0000000000
    426  -0.90610      0.0000000000    -20.954884      0.0000000000       10.0000000000
    436  -0.90510      0.0000000000    -20.927672      0.0000000000       10.0000000000
    446  -0.90410      0.0000000000    -20.900461      0.0000000000       10.0000000000
    456  -0.90310      0.0000000000    -20.873249      0.0000000000       10.0000000000
    466  -0.90210      0.0000000000    -20.846038      0.0000000000       10.0000000000
    476  -0.90110      0.0000000000    -20.818827      0.0000000000       10.0000000000
    486  -0.90010      0.0000000000    -20.791615      0.0000000000       10.0000000000
    496  -0.89910      0.0000000000    -20.764404      0.0000000000       10.0000000000
    506  -0.89810      0.0000000000    -20.737192      0.0000000000       10.0000000000
    516  -0.89710      0.0000000000    -20.709981      0.0000000000       10.0000000000
    526  -0.89610      0.0000000000    -20.682770      0.0000000000       10.0000000000
    536  -0.89510      0.0000000000    -20.655558      0.0000000000       10.0000000000
    546  -0.89410      0.0000000000    -20.628347      0.0000000000       10.0000000000
    556  -0.89310      0.0000000000    -20.601136      0.0000000000       10.0000000000
    566  -0.89210      0.0000000000    -20.573924      0.0000000000       10.0000000000
    576  -0.89110      0.0000000000    -20.546713      0.0000000000       10.0000000000
    586  -0.89010      0.0000000000    -20.519501      0.0000000000       10.0000000000
    596  -0.88910      0.0000000000    -20.492290      0.0000000000       10.0000000000
    606  -0.88810      0.0000000000    -20.465079      0.0000000000       10.0000000000
    616  -0.88710      0.0000000000    -20.437867      0.0000000000       10.0000000000
    626  -0.88610      0.0000000000    -20.410656      0.0000000000       10.0000000000
    636  -0.88510      0.0000000000    -20.383444      0.0000000000       10.0000000000
    646  -0.88410      0.0000000000    -20.356233      0.0000000000       10.0000000000
    656  -0.88310      0.0000000000    -20.329022      0.0000000000       10.0000000000
    666  -0.88210      0.0000000000    -20.301810      0.0000000000       10.0000000000
    676  -0.88110      0.0000000000    -20.274599      0.0000000000       10.0000000000
    686  -0.88010      0.0000000000    -20.247387      0.0000000000       10.0000000000
    696  -0.87910      0.0000000000    -20.220176      0.0000000000       10.0000000000
    706  -0.87810      0.0000000000    -20.192965      0.0000000000       10.0000000000
    716  -0.87710      0.0000000000    -20.165753      0.0000000000       10.0000000000
